dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,occRole,deploy,injSeverity
25-39,25.0689999999013,alive,none,belted,1,f,26,1997,1990,driver,0,3
10-24,25.0689999999013,alive,airbag,belted,1,f,72,1997,1995,driver,1,1
10-24,32.3789999997243,alive,none,none,1,f,69,1997,1988,driver,0,4
25-39,495.443999998271,alive,airbag,belted,1,f,53,1997,1995,driver,1,1
25-39,25.0689999999013,alive,none,belted,1,f,32,1997,1988,driver,0,3
40-54,25.0689999999013,alive,none,belted,1,f,22,1997,1985,driver,0,3
55+,27.0779999999795,alive,none,belted,1,m,22,1997,1984,driver,0,3
55+,27.0779999999795,dead,none,none,1,m,32,1997,1987,driver,0,4
10-24,812.868999995291,alive,none,belted,0,m,40,1997,1984,driver,0,1
10-24,812.868999995291,alive,none,belted,1,f,18,1997,1987,driver,0,0
10-24,812.868999995291,alive,none,belted,1,m,21,1997,1987,pass,0,0
10-24,299.458999998868,alive,none,belted,0,f,69,1997,1982,driver,0,1
10-24,923.995999999344,alive,airbag,belted,1,m,67,1997,1991,driver,1,1
25-39,89.6269999993965,dead,airbag,belted,0,f,54,1997,1994,driver,0,4
25-39,29.0809999997728,alive,none,belted,0,f,37,1997,1991,driver,0,1
25-39,29.0809999997728,alive,none,belted,1,m,71,1997,1990,driver,0,1
25-39,29.0809999997728,alive,none,belted,1,f,63,1997,1990,pass,0,3
10-24,58.1909999996424,alive,none,none,0,f,23,1997,1986,driver,0,3
10-24,1156.43899999559,alive,airbag,belted,0,m,33,1997,1995,driver,0,0
10-24,1156.43899999559,alive,airbag,belted,0,m,17,1997,1995,pass,0,0
10-24,86.1999999992549,alive,airbag,none,1,f,20,1997,1995,driver,1,1
10-24,86.1999999992549,alive,none,belted,0,f,22,1997,1987,driver,0,0
10-24,397.170999996364,alive,none,none,0,m,45,1997,1989,driver,0,0
10-24,397.170999996364,alive,none,none,0,m,36,1997,1989,pass,0,1
10-24,37.0989999999292,alive,airbag,belted,1,f,23,1997,1995,driver,1,1
10-24,79.2049999991432,alive,none,none,1,f,19,1997,1989,driver,0,1
10-24,244.389999998733,alive,none,belted,0,m,26,1997,1986,driver,0,0
10-24,244.389999998733,alive,none,belted,1,f,41,1997,1990,driver,0,0
40-54,26.2329999997746,alive,none,belted,1,f,18,1997,1987,driver,0,1
40-54,26.2329999997746,alive,none,none,1,m,30,1997,1987,pass,0,3
10-24,241.560999998823,alive,airbag,belted,1,f,26,1997,1992,driver,1,1
1-9,745.350999996066,alive,none,belted,1,m,16,1997,1988,driver,0,0
1-9,745.350999996066,alive,none,belted,1,m,17,1997,1988,pass,0,0
10-24,745.350999996066,alive,airbag,belted,0,m,20,1997,1990,driver,0,0
10-24,745.350999996066,alive,airbag,belted,0,f,17,1997,1990,pass,0,0
25-39,30.1479999998119,alive,none,none,1,m,32,1997,1993,driver,0,3
25-39,30.1479999998119,alive,airbag,none,1,f,19,1997,1993,driver,1,2
25-39,30.1479999998119,alive,airbag,belted,0,f,52,1997,1995,driver,0,1
10-24,199.315999999642,alive,none,belted,1,f,64,1997,1992,driver,0,2
10-24,199.315999999642,alive,none,belted,1,f,19,1997,1984,driver,0,2
10-24,199.315999999642,alive,none,belted,1,m,36,1997,1988,driver,0,2
10-24,199.315999999642,alive,airbag,belted,0,m,23,1997,1993,driver,0,1
55+,25.0689999999013,alive,none,none,1,m,76,1997,1984,driver,0,3
10-24,206.308999998495,alive,airbag,belted,1,m,32,1997,1995,driver,1,0
10-24,206.308999998495,alive,none,belted,0,m,21,1997,1987,driver,0,1
10-24,206.308999998495,alive,none,belted,0,m,25,1997,1987,pass,0,0
10-24,440.461999997497,alive,airbag,belted,0,f,37,1997,1992,driver,0,1
10-24,440.461999997497,alive,airbag,none,0,f,16,1997,1992,pass,0,0
10-24,105.151999999769,alive,none,belted,0,f,24,1997,1977,driver,0,1
10-24,105.151999999769,alive,none,belted,1,m,39,1997,1987,driver,0,0
10-24,324.452999997884,alive,none,belted,1,m,18,1997,1985,driver,0,0
40-54,98.5229999991134,alive,none,belted,1,f,64,1997,1991,driver,0,3
40-54,435.56799999997,alive,none,belted,1,m,22,1997,1984,driver,0,1
40-54,1343.96799999475,alive,none,belted,1,m,27,1997,1968,driver,0,0
25-39,29.0359999998473,alive,none,belted,1,m,18,1997,1977,driver,0,0
55+,29.0359999998473,alive,none,belted,0,f,20,1997,1986,driver,0,3
25-39,25.0689999999013,alive,airbag,none,1,m,74,1997,1993,driver,1,3
1-9,565.863999992609,alive,airbag,none,0,f,17,1997,1996,driver,0,0
1-9,565.863999992609,alive,airbag,none,0,f,16,1997,1996,pass,0,0
25-39,37.5279999999329,alive,airbag,none,0,f,20,1997,1996,driver,0,3
25-39,37.5279999999329,alive,airbag,none,0,m,19,1997,1996,pass,0,2
25-39,107.452999999747,alive,none,none,1,m,26,1997,1983,driver,0,3
10-24,2135.41699999571,alive,airbag,belted,1,m,32,1997,1995,driver,0,0
25-39,82.9799999995157,alive,none,none,0,f,78,1997,1986,driver,0,3
25-39,82.9799999995157,alive,none,belted,1,m,40,1997,1985,driver,0,0
25-39,82.9799999995157,alive,none,belted,1,f,36,1997,1985,pass,0,0
10-24,568.998999997973,alive,none,none,1,m,76,1997,1989,driver,0,5
